分类 (Category),中文描述 (Description),提示词 (Prompt)
二次元,和风妹抖装×芙兰二小姐(东方project人物),"blonde hair,pink headset,pink cat ears,long hair,side ponytail,ahoge,hairclip,red eyes,cherry blossoms,little girl,child,purple ribbon,pink and blue kimono,pink kimono,white stockings,machine,leg ribbon,leg ribbon,pink sleeves,furisode,{{flandre scarlet}},leaning to the side, yellow eyes, maid,"
二次元,白毛红瞳黑丝,"white long hair,suit,pistol,black stockings,red eyes"
二次元,紫殊,"Green hair，Purple gem eyes，Butterfly, sweater, cute, illustration"
二次元,1,"long wavy curly hair,(an extremely delicate and beautiful),(((masterpiece))),((best quality)),1girl,((an extremely delicate and beautiful girl)),female focus on,((gorgeous hair_ornament)),{{beijing opera}},((Ink wash painting)),((ink splashing)),((chinese painting)),(((illustration))),((color splashing)),beautiful detail,beautiful detailed eyes,"
二次元,1,"masterpiece, best quality, artbook, girl, loli, long hair, heart in eye, heart-shaped pupils, pantyhose, asian, "
二次元,小改改,"tag：masterpiece, best quality, extremely detailed CG unity 8k wallpaper, 1girl, beautiful purple eyes, wavy silver hair, crying, water eyes, looking at viewers, delicate Gothic evening gown, detailed lace and decorative border, detailed lace glove, detailed jewelry necklace, jewelry earrings, hair flower, snow, fog, violet garden, magnificent palaces, mountains, forests, night, detailed colorful star sky, cinematic lighting, super detLarge depth of field, oil
"
二次元,橙子,"best quality,highly detailed,masterpiece,ultra-detailed,illustration,wallpaper,1girl,bare shoulders,long bangs,azure hair,bright_eyes,red eyes"
二次元,狐狸,"fox_ears,anklet,chest, more abdominal muscle,"
二次元,w,",genshin impact,cat_pose,ahoge,maid,lolita_fashion,comic"
二次元,戴眼镜的长发帅哥,"Wear eyes,Long haired handsome man"
二次元,蓝发少女,adult a girl Blue hair blue eyes 
二次元,小奈,Girl pink hair pink eyes cute 
二次元,adiuahodw,"gloves ,solo,short_hair,looking at viewer,standing,black_hair/black_eyes,arms behind back,expressionless,heterochromia,headphone,wind coat,boots,mature male,scarf,character design,"
二次元,御姐,"best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic},"
二次元,漏内裤幼女,"insertionExtreme expansionstomach protrusion,azur lane,infant,kemono,"
二次元,学生,"garter straps garter belt,pleated skirt,school uniform,leather shoes,"
二次元,认真讨论的女记者,"girl,yellow cloth,glass,short hair,black hair"
二次元,魔法师魅魔,girl，cat ears，Succubus，boobs，wife，sorcerer
二次元,yuyuko,"Saigyouji yuyuko,very cool girl wearing cyberpunk intricate streetwear, beautiful, detailed portrait, intricate complexity, by krenz cushart, kyoto animation, greg rutkowski, wlop. 4 k, beautiful, cinematic dramatic atmosphere,"
二次元,少女,"Light blue hair, three or seven bangs, a girl, smile, sunshine, classical."
二次元,机甲少女,"girl,There is a red reactor on the chest, red clothes, red eyes, red hair and a ponytail."
二次元,新,"White hair, three nothing, girl, bandage,Cherry blossoms,selfiemirror,monochrome,Chinese style,twintails,red_hair/red_eyes,light smile,pleated skirt,flat_chest,"
二次元,谷子,"girl,tiger Ears,Yellow eyes,tiger tail,Brown hair,furry,tigeress,kemono,fur,Short hair,Chinese style clothing,Coffee hair,Golden eyes,loli,1 girl"
二次元,mie,"long_hair,long hair,right side temple hair,left side temple hair,white hair,white_hair/blonde_eyes,white_hair,looking at viewer,smile,Long skirt,wings,necklace,flat_chest,backlighting,"
二次元,白毛御姐,white_hair red_eyes long_hair chemise leggings caramelldansen
二次元,小可爱,"long_hair,long hair,right side temple hair,left side temple hair,white hair,white_hair/blonde_eyes,white_hair,looking at viewer,smile,Long skirt,wings,necklace,flat_chest,backlighting,,"
二次元,测试,"{{masterpiece}},{best quality},{solo},highres,extremely detailed CG wallpaper,extremely detailed figure,Amazing,one girl {inside the church and grasses} with very long black hair and hold a {luminous} flower in hands,night with bright colorful lights whith richly layered clouds and clouded moon in the detailed sky,{many} glowing black {feathers},extremely detailed eyes,finely detail,detailed face,a lot of glowing particles,{crying} and smile,{black wing},Depth of field,perspective,{sacred feeling}  "
二次元,红发战士,"Red hair,black skin,Warrior, one-handed sword, magical world, red eye"
二次元,第一,"very_long_hair,black hair,eye contact,crying,standing,reaching,surprised,aquagradient eyes,hoodie,street wear,socks,sneakers,mittens,ribbon,umbrella,thigh strap,cityscape,"
二次元,可爱的jk,"High school students，brown hair，fleece，lovely，girl，masterpiece, best quality,"
二次元,Warma,"white hair,red eyes,flat_chest,school uniform,twin_braids,smile"
二次元,桐谷和人,"Kirigaya Kazuto,black shirt, black cloak decorated with white lines, black short hair, black half finger gloves, black long sword in hand, light blue double-edged sword on the back, round face, black eyes"
二次元,苏州,"Anime, beautiful girl, junior high school girl, sense of detail, Suzhou, street, Jiangnan, light shadow, shoulder length short hair, student hat, white canvas bag, black skirt, knitted coat, street lamp, white knee socks, green canvas shoes, osmanthus tree, sunset, correct proportion, pedestrian, self driving, sense of light and shadow, roadside tree, running water, anime"
二次元,正太,"masterpiece, best quality,little boy,shota,angel,white hair,short_ponytail,short hair,crossed bangs,nose blush,beautiful detailed eyes,heterochromia blue red,heart-shaped pupils,barefoot,bare_legs,crop top,halo"
二次元,三角形,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg {{masterpiece}},1 girl,best quality,Stain blood on the body,Yandere,Yandere smiles,artifacts, signature, watermark, username, blurry, bad feet,"
二次元,csc,"looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),full body,treehouse,bulletproof_vest,,torn clothes,white_hair,red_eyes,combat boots,Ushanka,red Soviet,"
二次元,哥特风少女,"masterpiece, best quality, dusk, sunset, on the beach, comic, absurdres, wallpaper, girl, loli, nun, absurdly long hair, white hair, low-tied long hair, high ponytail, hair behind ear, red hairband, embarrassed , white eyebrows, heart-shaped pupils, stretch, cape, gothic, barefoot, white thighhighs, white garter straps, lace-trimmed legwear, collar, "
二次元,源赖光妈妈,Minamoto no Raikou，Thights，fanbox，footjob，purple bodysuit，leg lift，
二次元,军装少女,"1girl,military uniform,white gloves,flat chest,long hair,white shirt"
二次元,SHIDE,"(((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes), (detailed light),ultrahigh resolution,shy girl,（brown hair/hirblack eye）,a beautiful,（bathroom）,（(A towel around the body）),very delicate water,（mist）"
二次元,原神，胡桃,"The best, highest quality, masterpiece, JK uniform, black hat with a plum blossom, red plum blossom shaped pupils, small chest, sitting on the bed, perfect face"
二次元,虚灵神狼,"{Black hair}, golden vertical pupil, black and white jacket, ((A girl has four arms. ))), ((Esdeath)), ((masterpiece)), (((super meticulous)), ((illustration)), ((unkempt hair)), ((ornaments)), (1 girl), (solo), dynamic angle,Beautiful eyes, overexposure, ((bad smile)), blunt bangs on the side, hair"
二次元,帅气,Foggy grey hair，Blindfold hair，Blue grey eyes，suit，expressionless，Wolf tail hairstyle，
二次元,胡桃,"genshin imfact hutao，girl，brown hair with a little red, hat"
二次元,j,"white pantyhose,heavy breathing,short_hairkneeling&setting on floot,tank top,leather shoes,,"
二次元,风衣大姐,"backlighting,side_ponytail,soviet poster,wind coat,looking away,walk,"
二次元,日本女高中生,"Black hair, black eyes,sailor suit,eyeshade"
二次元,正太,"Little boy, short white hair, cat ears, red fox eyes, black round glasses collar, cool, cute, earrings, fox tail"
二次元,白发红瞳猫娘,"best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful"
二次元,赛博人,"blonde_hair/yellow_eyes,messy_hair,standing,clenched hands,facing viewer,Loong, dragon background, loong background,colorful startrails,firearms,Samurai Sword,Tactical bulletproof vest,backpack,beret,bulge,doll joints,fingerless gloves,"
二次元,找亲人的少女,"1girl,Dark red cap,blind in one eye,Orange hair,poker face,dark rad windbreaker,brown silk stockings,flame boots and gloves,"
二次元,二次元萝莉,"best quality, masterpiece, highres, original, extremely detailed 8K wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, an extremely delicate and beautiful，"
二次元,兴奋的萝莉,"head tilt,turning left,looking down,looking up,nude,loil,tears,bedroom,shy,wet,gold hair,long hair,cute"
二次元,月下水上白丝小女孩（正）,"extremely detailed CG unity 8k wallpaper，{best quality}, {{masterpiece}}, {highres}, original, {an extremely delicate and beautiful},{{{{1girl}}}},moonlight，{full moon}，surface of the water，inverted reflection in water，White dress，Flying petals，very_long_hair,flat_chest,hair ribbon,veil mouth veil,"
二次元,我去，初音未来！,"Hatsune Miku, blue-green ponytail, formula suit, performs on the stage."
二次元,彩虹,"best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful,"
二次元,试一试,"arknights,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,{{{kaltsit (arknights)}}},light green white hair,empty eyes,expressionless,bare_shoulders, detached_sleeves, flat_chest,mature female, {backless dress},medium hair, light green eyes,cat ears,highres,,"
二次元,狐耳少年,"Girl,fox ears,Long white hair,A little red hair,Red eyes"
二次元,不屑的御姐,"chinese clothes,china dress,,best quality, masterpiece, highere, original, extremely detailed 8k wallpaper, 1girl, black tights, cat ears, white hair, red eyes, maid, anextremely delicate and beautiful,bikini,"
二次元,Z,"chinese clothes,china dress,,Black hair, black eyes,sailor suit,eyeshade,Black hair, black eyes,sailor suit,eyeshade,miniskirt,squatting,top-down_bottom-up,"
二次元,我不到啊,"Little boy, short white hair, cat ears, red fox eyes, black round glasses collar, cool, cute, earrings, fox tail,curly_hair,gradient hair,green hair,Vaporwave,vampire,handjob gesture,crossed legs,drunk,crazy eyes,wind coat,shorts,fingerless gloves,sneakers,wire,"
二次元,东云绘名(project_sekai),"{{{shinonome ena}}},{{{masterpiece}}}, best quality,extremely detailed CG unity 8k wallpaper,1girl,solo,brown eyes, brown hair, bob cut, hair ornament, side braid, swept bangs,hair ribbon, short hair, school uniform,black pantyhose,window,tsundere,project_sekai"
二次元,开心,"knees together feet aparbeautiful detailed,{{masterpiece}},best quality,ultra-detailed,extremely detailed CG,8k_wallpaper,watercolor (medium),gilt border,god rays,cinematic lighting,an extremely delicate and beautiful girl,[snowy starry night],[ruins],gothic architecture,long black blue hair,[white streaked hair],a patch over one eye,[beautiful detailed wathet blue left eye],[star-shaped pupil],dark skin,[wheat_color skin],evening dress,blue collars,elbow_gloves,smile,white birds upper body,t,"
二次元,你数数,"extremely detailed CG unity 8k wallpaper，{best quality}, {{masterpiece}}, {highres}, original, {an extremely delicate and beautiful},{{{{1girl}}}},moonlight，{full moon}，surface of the water，inverted reflection in water，White dress，Flying petals，very_long_hair,flat_chest,hair ribbon,veil mouth veil,,"
二次元,美少女," ((masterpiece),(best quality),(ultra - detailed),(illustration),(an extremely delicate and beautiful,(beautiful detailed bule eyes),(detailed light),(beautifully sky),(1girl),((harem outfit)(shinelight), (lighting particle),(illustration)【watercolor】(chinese style)1)(colorful)painted,highly"
二次元,月下水上白丝小女孩（负）（种子274538177）,"ahoge,messy_hair,black_hair/black_eyes,school uniform,papilla,"
二次元,萝莉,"(little girl),((Crazy and angry smile)), (slit pupils), (((masterpiece))), ((best quality)), (super delicate), (illustration), (floating hair), bat, red moon,(slim legs), {(big white cloth hat)}, (1 girl), ( bat wings), (light blue hair), red eyes, short hair, castle, beautiful and delicate eyes, (small chest), (Black and white tight lace skirt), blood ,"
二次元,露米娅（东方project角色）,"(rumia),short hair,cute,cityspace,sun,red_eyes,kawaii,cute face,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,incredibly_absurdres"
二次元,因幡帝（东方project角色）（高质量）,"(tewi_inaba),pink dress,black hair,short hair,cute,cityspace,sun,red_eyes,kawaii,cute face,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,incredibly_absurdres"
二次元,猫娘,"1girl, {{flower field}},summer_dress,{{masterpiece}},beautiful detailed eyes, long hair,{{beautiful face}},{{beautiful hands}},strong rim light,,depth of field,lens flare,{{{full body}}},{{wide shot}},tyndall effect,{{beautiful legs}},{{stand}}, photo (medium), {{dusk}},{nightfall},bokeh,,blonde hair,{{field}},starshine,{firefly},{{butterfly}}"
二次元,嘿嘿,"girl,cute,girl white hair,white eyes,lowres,floating in blue sky and clouds,one small blue flower ornaments,angel wings
"
二次元,YEEEEE,"pov,classroom,magazine scan,solo,Perfect female body,low ponytail,messy_hair,black_hair/black_eyes,facing viewer,standing,double peace hand,blush,soaked,school uniform,plaid skirt,kneehighs,leather shoes,flat_chest,"
二次元,姐姐,"masterpiece, best quality,extremely detailed CG unity 8k wallpaper,((gorgeous red long skirt)),Red shawl, red long sleeve,((((dress has golden phoenix pattern on it)))),black hair,Red eyes,((gentle)),(((nice headpiece))),(Gorgeous crown),((detail ornaments)),(flowers),gentle smile,the tiny gold bracelet,beautiful eyeliner,beautiful detailed girl,an extremely delicate and beautiful girl,beautiful detailed eyes,"
二次元,二次元女孩,"loli,tail(best quality), ((masterpiece)), ((ultra-detailed)),(highres), original,(illustration), ((detailed light)),(an extremely delicate and beautiful),(colorful)watercolor (medium) ,(((straight-on))),(cyberpunk),(stage),((cute face)),succubus,((detailed school_uniform)),frills,(skirt1.2),fingerless gloves , (Microphone,singing song,happy,)demon hron,demon wings,thigh strap,(headset),(heart tattoo),delicate fingers,sharp_fingernails,"
二次元,1,"(best quality), ((masterpiece)), ((ultra-detailed)),(highres), original,(illustration), ((detailed light)),(an extremely delicate and beautiful),(colorful)watercolor (medium) ,(((straight-on))),(cyberpunk),(stage),((cute face)),succubus,((detailed school_uniform)),frills,(skirt1.2),fingerless gloves , (Microphone,singing song,happy,)demon hron,demon wings,thigh strap,(headset),(heart tattoo),delicate fingers,sharp_fingernails,"
二次元,1,"masterpiece, best quality, dusk, on the beach, huge_filesize, wallpaper, girl, bishoujo, nun, very long hair, white hair, hair down, drill hair, twin braids, white hairband, nose blush , angry, eyelid pull , white colored eyelashes, heterochromia , heart in eye, hand on own chest, squatting, back-to-back, whitedress, robe, cape, crop top, black garter belt, lace-trimmed legwear, chains, ,"
二次元,厉害的,"game cg,oil painting (medium) ,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,depthoffield, cinematic angle, bloom effect, light particles,ray tracing,1girl, {an extreme and beautiful},young girl,{{{maid,bishoujo,very_long purple hair and red eyes ,beautiful detailed eyes,ahoge,}}}blunt_bangs,floating hair,Maid drly delicateess,maid headdress,facing viewer,sunlight,beautiful detailed sky,floating sakura,"
二次元,幻之魔女,"1girl,black and purple hair,hag,magic,big tits,adult lady like woman"
二次元,一位名叫夏的少女,"((masterpiece)),(((best quality))),illustration,1 girl,female,black hair,detailed eyes,red pupil,hanfu,long black sleeves,frills,extremely detailed CG unity 8k wallpaper,Loong,dragon background, loong background,game cg,"
二次元,"masterpiece,best quality,","masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),,"
二次元,椒,"ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,very_long_hair,red_hair,red eyes,seductive smile ,Cape hood"
二次元,warma,"white hair，red eyes，flat_chest,school uniform,twin_braids,smile,ahoge"
二次元,萝莉,"((masterpiece)),(((best quality))),illustration,1 girl,female,black hair,detailed eyes,red pupil,hanfu,long black sleeves,frills,extremely detailed CG unity 8k wallpaper,Loong,dragon background, loong background,game cg,,"
二次元,红色短裙girl（标准负面）,"Bare shoulders,Pale skin,Hair ribbon,hands on hips,big red eyes,looking at mirror,collarbone,Standing,(red_hair),Long hair,Bangs,Two side up,red dress,red sleeves,microskirt,vertical-striped legwear,over-kneehighs,high heel boots,necklace,Cinematic Lighting,wallpaper,style of genshin impact,border,artbook,cowboy shot,{a gril}"
二次元,晨跑者,"A girl with short black hair, glasses, sweat, Li Ning sports vest, super shorts, long legs, white socks, Li Ning white running shoes, sitting on the park bench, holding a Kaifeng mineral water bottle, smiling, black pupils, white skin, mid afternoon"
二次元,黑头发的可爱小男孩,"Squinting, squinting, black hair, cute, too black, short hair, boys sitting."
二次元,可莉,",loli，red，Red Hat，Elves Ears，Lucky，young，act cute，Humans，Human form，Red pupils，Long hair in pale blonde，Short legs，White socks，Red Berets，bad，1080p，Brown backpack，Red round cap，peaked cap，Brown four leaf grass pattern，{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes,"
二次元,aether \(genshin impact\),"aether \(genshin impact\),1boy, male focus,blonde hair,single earring, beautiful golden eyes,navel,midriff,braid,ahoge,hair_between_eyes,brown gloves,boots, pants,white scarf,evil smile, ,((((({best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boys, {an extremely delicate and beautiful},,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,shota,slender waist,long hair,  bare shoulders,heterochromia,(Delicate muscle lines),linea alba,chinese clothes, chinese style architecture,neat figure,Chinese style,))))),((lab coat)),((((high ponytail)))),((black hair)),((aqua_eyes)),(({best quality},Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG,beautiful detailed eyes,1girl,finely detail,cameltoe,,five fingers，intricate detail，{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body} "
二次元,霜星（大概）,"{{frostnova} (arknights)}, gray long hair,{gary and white long rabbit ears},in white, snowy ruins,hair over one eye,outstretched arm,white coat,dark gery jacket inside,black eyes,eyes visible through hair,tiny smell,old long white clothes,arknights,red ribbon,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},,detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, ,looking at viewer,detailed clothes,, Epic feeling"
二次元,实验1,"{{frostnova} (arknights)}, gray long hair,{gary and white long rabbit ears},in white, snowy ruins,hair over one eye,outstretched arm,white coat,dark gery jacket inside,black eyes,eyes visible through hair,tiny smell,old long white clothes,arknights,red ribbon,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},,detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, ,looking at viewer,detailed clothes,, Epic feeling,"
二次元,战士,"straight-on,selfiemirror,high saturation,battlefield,building_ruins,comic,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},knife and sword,mature female,asymmetrical bangs,hair spread out,white hair,red_eyes,horn,looking away,fighting_stance,detail fingers,wince,beautiful golden eyes,military uniform,trench_coat,loli,platform boots,fingerless gloves,glaive,masterpiece,ray tracing,"
二次元,白猫少年,"straight-on,first-person view,upper body,blurry background,white background,anime screencap,shota,teenage,hair over one eye,ahoge,closed mouth,facing viewer,kemomimi,clear face,expressionless,slit pupils,white_hair,red_eyes,hoodie,scarf,Samurai Sword,(((ponytail))),extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers, extra fingers, fused fingers, bad proportions, missing arms, missing legs, extra arms, extra legs ,missing hands, malformed limbs, extra fingers,,"
二次元,洛天依,"Luo_tianyi,Green eyes，(masterpiece),(best quality), highres, game_cg,Grey hair，solo"
二次元,晨跑,"A girl with short black hair, glasses, sweat, Li Ning sports vest, super shorts, long legs, white socks, Li Ning white running shoes, sitting on the park bench, holding a Kaifeng mineral water bottle, smiling, black pupils, white skin, mid afternoo"
二次元,吴国 下雨 内涵,"highly detailed,masterpiece,ultra-detailed,illustration,incredibly_absurdres,white eyebrows,white colored eyelashes,cute face,fox_ears,white hair,gorgeouslowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing arms,long neck,Humpbacked"
二次元,明日方舟  迷迭香（大概）,"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), (solo),masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, day, artbook,loli, loli,long hair, silver hair, hair down,white colored eyelashes, longeyelashes,expressionless, white colored eyelashes,green pupil,beautiful detailed eyes, looking at viewer, cat girl,animal ear fluff，"
二次元,Murjana,"long_hair,hair between eyes,straight hair,bow-shaped hair,two side up,multicolored hair,shiny hair,pink_hair,sidelocks,brown_hair,from side,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,cinematic angle,library,official art,teenage,neat figure,mature female,pink_hair,brown_hair/brown_eyes,smile,sitting,arms behind back,raised eyebrow,convenience store uniforms,high heels,masterpiece,"
二次元,Stylized Scenes,"Stylized Scenes,building,cartoon,grass,water,tree.nature,Tenebrism,,game cg,masterpiece,cinematic angle,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},,loli girl moon night light lake glass,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,lake,nature,torii,east asian architecture,field,ocean,mountain,"
二次元,怒九,"white hair,heterochromia,bule eye,yellow eye,flat_chest,casual wear,clear face,expressionless,low ponytail,"
二次元,龙女,"Pale skin,heterochromia,Dragon tail,Dragon wings,High ponytail,hand on own chest,painted in the style of Cynical realism,octane render,game cg,artbook,huge_filesize ,upper body"
二次元,HAO,"looking at viewer,(from side:1.2),( head tilt:1.65),(leaning_back:1.25),twintails,aqua_hair,Skirt lift,half-closed eyes,thong leotard,plaid skirt,black stocking,underboob,"
二次元,1,"{{{elaina(majo no tabitabi)}}}},{{solo}},{{best quality}},{{masterpiece}},highres,extremely detailed wallpaper,delicate face,beautiful detailed street,beautiful detailed sky,Railing,city,cloud,shadow,{{white hair}},{loose long hair},{ahoge},{{white shirt under black robe}},{white Collared shirt},medium frilled skirt,{{royal blue skirt with white edge}},{blue eyes},beautiful detailed eyes,twist braid,{{bare shoulders}},{{Witch hat}},Pendant on Tip of hat,"
二次元,奕夏,"male,green_hair,white_eyes,black_windbreaker,pants,boots,cane,"
二次元,hhhc,"masterpiece,best quality,highres,(extremely delicate and deautiful girls),extremely detailed CG unity 8k wallpaper,depth of field,dramatic angle,beautiful detailed sky,blooming light,night time,soft lighting,smooth,(5girls:1.3),castle,(pumpkin lanterns),in autumn,(bats:1.2,dirty trick:1.25),Halloween,ram_(re:zero)+pink eyes+pink short hair over left one eye,rem_(re:zero)+blue eyes+blue short hair over right one eye, ram_([re:zero]:1.2)+purple eyes+purple hair+(black sundress with round neck,white T-shirt bottom:1.3),ram_([re:zero]:0.8)+purple eyes+blue hair+Miko clothing,ram_([re:zero]:0.6)+green eyes+blue hair+casual wear,cloned face,(beautiful detailed eyes),witch skin, shiny hair, (happy),vibrant,dynamic Poses,atmosphere,dramatic shadow,ray tracing,"
二次元,美女,"正面：
extremely detailed CG unity 8k wallpaper, (masterpiece), best quality, illustration, (1 girl), wet skin, expressionless, yellow eyes, (anger), horns, (silver armor), metal, complex pattern, corner, cape, indifference
反面：
 lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet，blush，helmet
参数：
 Steps: 50, Sampler: DDIM, CFG scale: 7"
二次元,白发女,"extremely detailed CG unity 8k wallpaper, (masterpiece), best quality, illustration, (1 girl), wet skin, expressionless, yellow eyes, (anger), horns, (silver armor), metal, complex pattern, corner, cape, indifference"
二次元,0.0,"{masterpiece}, 1girl, detail, orange hair, long hair, exquisite, black gown, dragon horns, red eyes, half-closed eyes, sketch face, expressionless, looking at viewer, white hood, red necklace, rough shadow, {{dappled sunlight}}, autumn leaves, from side
Negative prompt: lowers, bad anatomy, bad hands, text, error, missing fingers, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifact, signature, watermark, username, blurry
Steps: 100, Sampler: Euler a, CFG scale: 22, Seed: 2587381461, Size: 512x512, Model hash: 925997e9, Eta: 0.67, Clip skip: 2
Time taken: 5m 26.95s"
二次元,oc,girl，blue eyes，diamond shaped pupil，maize-yellow hair，cape side double ponytail，heart shaped dull hair，star，blue light，pink highlights in front of the ears，dark blue cloak，blue diamond
